,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
80,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2
81,ALLCARGO.NS,Allcargo Logistics Limited,EQ,23-JUN-2006,2
82,ALLSEC.NS,Allsec Technologies Limited,EQ,09-MAY-2005,10
83,ALMONDZ.NS,Almondz Global Securities Limited,BE,16-JUN-2008,6
84,ALOKINDS.NS,Alok Industries Limited,BE,19-FEB-2020,1
85,ALPA.NS,Alpa Laboratories Limited,EQ,06-AUG-2007,10
86,ALPHAGEO.NS,Alphageo (India) Limited,EQ,11-MAY-2007,10
87,ALPSINDUS.NS,Alps Industries Limited,BE,24-APR-1996,10
88,AMBER.NS,Amber Enterprises India Limited,EQ,30-JAN-2018,10
89,AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10
90,AMBIKCO.NS,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10
91,AMBUJACEM.NS,Ambuja Cements Limited,EQ,18-FEB-1998,2
92,AMDIND.NS,AMD Industries Limited,BE,19-MAR-2007,10
93,AMIORG.NS,Ami Organics Limited,EQ,14-SEP-2021,10
94,AMJLAND.NS,Amj Land Holdings Limited,EQ,08-FEB-1995,2
95,AMNPLST.NS,Amines & Plasticizers Limited,EQ,10-NOV-2023,2
96,AMRUTANJAN.NS,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1
97,ANANDRATHI.NS,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5
98,ANANTRAJ.NS,Anant Raj Limited,EQ,27-SEP-2006,2
99,ANDHRAPAP.NS,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,10
100,ANDHRSUGAR.NS,The Andhra Sugars Limited,EQ,01-NOV-1995,2
101,ANGELONE.NS,Angel One Limited,EQ,05-OCT-2020,10
102,ANIKINDS.NS,Anik Industries Limited,BE,21-MAY-2008,10
103,ANKITMETAL.NS,Ankit Metal & Power Limited,BE,14-MAR-2013,10
104,ANMOL.NS,Anmol India Limited,EQ,04-JUN-2021,10
105,ANTGRAPHIC.NS,Antarctica Limited,BE,31-DEC-1997,1
106,ANUP.NS,The Anup Engineering Limited,EQ,01-MAR-2019,10
107,ANURAS.NS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10
