,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
349,COALINDIA.NS,Coal India Limited,EQ,04-NOV-2010,10
350,COASTCORP.NS,Coastal Corporation Limited,EQ,08-OCT-2021,10
351,COCHINSHIP.NS,Cochin Shipyard Limited,EQ,11-AUG-2017,5
352,COFFEEDAY.NS,Coffee Day Enterprises Limited,EQ,02-NOV-2015,10
353,COFORGE.NS,Coforge Limited,EQ,30-AUG-2004,10
354,COLPAL.NS,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1
355,COMPINFO.NS,Compuage Infocom Limited,BZ,07-JUL-2016,2
356,COMPUSOFT.NS,Compucom Software Limited,EQ,02-MAR-2012,2
357,COMSYN.NS,Commercial Syn Bags Limited,EQ,23-JAN-2024,10
358,CONCOR.NS,Container Corporation of India Limited,EQ,07-MAY-1997,5
359,CONCORDBIO.NS,Concord Biotech Limited,EQ,18-AUG-2023,1
360,CONFIPET.NS,Confidence Petroleum India Limited,EQ,13-JUN-2019,1
361,CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10
362,CONTROLPR.NS,Control Print Limited,EQ,24-JUN-2016,10
363,CORALFINAC.NS,Coral India Finance & Housing Limited,BE,25-MAR-1996,2
364,CORDSCABLE.NS,Cords Cable Industries Limited,BE,13-FEB-2008,10
365,COROMANDEL.NS,Coromandel International Limited,EQ,31-MAY-1995,1
366,COSMOFIRST.NS,COSMO FIRST LIMITED,EQ,25-MAY-1995,10
367,COUNCODOS.NS,Country Condo's Limited,BE,22-JAN-2009,1
368,CRAFTSMAN.NS,Craftsman Automation Limited,EQ,25-MAR-2021,5
369,CREATIVE.NS,Creative Newtech Limited,EQ,05-AUG-2019,10
370,CREATIVEYE.NS,Creative Eye Limited,BE,20-DEC-2000,5
371,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10
372,CREST.NS,Crest Ventures Limited,EQ,27-DEC-2006,10
373,CRISIL.NS,CRISIL Limited,EQ,28-JUN-1995,1
374,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2
375,CROWN.NS,Crown Lifters Limited,BE,08-FEB-2022,10
376,CSBBANK.NS,CSB Bank Limited,EQ,04-DEC-2019,10
377,CSLFINANCE.NS,CSL Finance Limited,EQ,21-JUL-2022,10
378,CTE.NS,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10
379,CUB.NS,City Union Bank Limited,EQ,25-AUG-1998,1
380,CUBEXTUB.NS,Cubex Tubings Limited,BE,24-APR-1996,10
381,CUMMINSIND.NS,Cummins India Limited,EQ,29-MAR-1995,2
382,CUPID.NS,Cupid Limited,BE,16-SEP-2016,10
383,CYBERMEDIA.NS,Cyber Media (India) Limited,BE,10-JUN-2005,10
384,CYBERTECH.NS,Cybertech Systems And Software Limited,EQ,27-JAN-1999,10
385,CYIENT.NS,Cyient Limited,EQ,30-SEP-1998,5
386,CYIENTDLM.NS,Cyient DLM Limited,EQ,10-JUL-2023,10
387,DABUR.NS,Dabur India Limited,EQ,28-APR-1999,1
388,DALBHARAT.NS,Dalmia Bharat Limited,EQ,22-JAN-2019,2
389,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2
390,DAMODARIND.NS,Damodar Industries Limited,EQ,04-JUL-2016,5
391,DANGEE.NS,Dangee Dums Limited,EQ,13-NOV-2020,1
392,DATAMATICS.NS,Datamatics Global Services Limited,EQ,07-MAY-2004,5
393,DATAPATTNS.NS,Data Patterns (India) Limited,EQ,24-DEC-2021,2
394,DAVANGERE.NS,Davangere Sugar Company Limited,EQ,25-JAN-2024,10
395,DBCORP.NS,D.B.Corp Limited,BE,06-JAN-2010,10
396,DBL.NS,Dilip Buildcon Limited,EQ,11-AUG-2016,10
397,DBOL.NS,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10
398,DBREALTY.NS,D B Realty Limited,EQ,24-FEB-2010,10
399,DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2
400,DCAL.NS,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2
401,DCBBANK.NS,DCB Bank Limited,EQ,27-OCT-2006,10
402,DCI.NS,Dc Infotech And Communication Limited,EQ,19-OCT-2022,10
403,DCM.NS,DCM  Limited,EQ,29-MAR-1995,10
404,DCMFINSERV.NS,DCM Financial Services Limited,BE,21-MAY-1997,10
405,DCMNVL.NS,DCM Nouvelle Limited,EQ,16-JUL-2019,10
406,DCMSHRIRAM.NS,DCM Shriram Limited,EQ,12-APR-1995,2
407,DCMSRIND.NS,DCM Shriram Industries Limited,EQ,24-DEC-2021,2
408,DCW.NS,DCW Limited,EQ,25-MAY-1995,2
409,DCXINDIA.NS,DCX Systems Limited,EQ,11-NOV-2022,2
410,DECCANCE.NS,Deccan Cements Limited,EQ,02-AUG-2007,5
411,DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10
412,DEEPAKNTR.NS,Deepak Nitrite Limited,EQ,29-SEP-2010,2
413,DEEPENR.NS,DEEP ENERGY RESOURCES LIMITED,EQ,09-MAR-2010,10
414,DEEPINDS.NS,Deep Industries Limited,EQ,27-APR-2021,5
415,DELHIVERY.NS,Delhivery Limited,EQ,24-MAY-2022,1
416,DELPHIFX.NS,DELPHI WORLD MONEY LIMITED,EQ,28-JUN-2011,10
417,DELTACORP.NS,Delta Corp Limited,EQ,02-NOV-2007,1
418,DELTAMAGNT.NS,Delta Manufacturing Limited,EQ,18-OCT-1995,10
419,DEN.NS,Den Networks Limited,EQ,24-NOV-2009,10
420,DENORA.NS,De Nora India Limited,EQ,07-AUG-1997,10
421,DEVIT.NS,Dev Information Technology Limited,EQ,15-FEB-2022,5
422,DEVYANI.NS,Devyani International Limited,EQ,16-AUG-2021,1
423,DGCONTENT.NS,Digicontent Limited,EQ,18-JUN-2019,2
424,DHAMPURSUG.NS,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10
425,DHANBANK.NS,Dhanlaxmi Bank Limited,BE,01-APR-2004,10
426,DHANI.NS,Dhani Services Limited,EQ,02-APR-2008,2
427,DHANUKA.NS,Dhanuka Agritech Limited,EQ,29-JUN-2011,2
428,DHARMAJ.NS,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10
429,DHRUV.NS,Dhruv Consultancy Services Limited,BE,25-NOV-2021,10
430,DHUNINV.NS,Dhunseri Investments Limited,EQ,18-MAR-2011,10
431,DIACABS.NS,Diamond Power Infrastructure Limited,BE,15-SEP-2023,10
432,DIAMINESQ.NS,Diamines & Chemicals Limited,EQ,25-SEP-2023,10
433,DIAMONDYD.NS,Prataap Snacks Limited,EQ,05-OCT-2017,5
434,DICIND.NS,DIC India Limited,EQ,30-AUG-1995,10
435,DIGIDRIVE.NS,Digidrive Distributors Limited,BE,10-JAN-2024,10
436,DIGISPICE.NS,DiGiSPICE Technologies Limited,EQ,27-MAY-2008,3
437,DIGJAMLMTD.NS,Digjam Limited,BE,18-OCT-2021,10
438,DIL.NS,Debock Industries Limited,EQ,31-MAR-2022,10
439,DISHTV.NS,Dish TV India Limited,EQ,18-APR-2007,1
440,DIVGIITTS.NS,Divgi Torqtransfer Systems Limited,EQ,14-MAR-2023,5
441,DIVISLAB.NS,Divi's Laboratories Limited,EQ,12-MAR-2003,2
442,DIXON.NS,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2
443,DJML.NS,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022,10
444,DLF.NS,DLF Limited,EQ,05-JUL-2007,2
445,DLINKINDIA.NS,D-Link (India) Limited,EQ,18-DEC-2009,2
446,DMART.NS,Avenue Supermarts Limited,EQ,21-MAR-2017,10
447,DMCC.NS,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10
448,DNAMEDIA.NS,Diligent Media Corporation Limited,BE,11-DEC-2017,1
449,DODLA.NS,Dodla Dairy Limited,EQ,28-JUN-2021,10
450,DOLATALGO.NS,Dolat Algotech Limited,EQ,12-JAN-2024,1
451,DOLLAR.NS,Dollar Industries Limited,EQ,21-APR-2017,2
452,DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited,BE,21-AUG-2023,1
453,DOMS.NS,DOMS Industries Limited,EQ,20-DEC-2023,10
454,DONEAR.NS,Donear Industries Limited,EQ,20-DEC-2006,2
455,DPABHUSHAN.NS,D. P. Abhushan Limited,EQ,03-NOV-2020,10
456,DPSCLTD.NS,DPSC Limited,EQ,21-APR-2008,1
457,DPWIRES.NS,D P Wires Limited,EQ,17-JAN-2020,10
458,DRCSYSTEMS.NS,DRC Systems India Limited,BE,10-MAR-2021,1
459,DREAMFOLKS.NS,Dreamfolks Services Limited,EQ,06-SEP-2022,2
460,DREDGECORP.NS,Dredging Corporation of India Limited,BE,15-JAN-2004,10
461,DRREDDY.NS,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5
462,DSSL.NS,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10
463,DTIL.NS,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10
464,DUCON.NS,Ducon Infratechnologies Limited,BE,09-OCT-2012,1
465,DVL.NS,Dhunseri Ventures Limited,EQ,11-JAN-2008,10
466,DWARKESH.NS,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1
467,DYCL.NS,Dynamic Cables Limited,EQ,27-JUL-2022,10
468,DYNAMATECH.NS,Dynamatic Technologies Limited,EQ,14-SEP-2006,10
469,DYNPRO.NS,Dynemic Products Limited,EQ,19-JUL-2017,10
470,E2E.NS,E2E Networks Limited,BE,12-APR-2022,10
471,EASEMYTRIP.NS,Easy Trip Planners Limited,EQ,19-MAR-2021,1
472,EASTSILK.NS,Eastern Silk Industries Limited,BE,03-JUL-1996,2
473,ECLERX.NS,eClerx Services Limited,EQ,31-DEC-2007,10
474,EDELWEISS.NS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1
475,EDUCOMP.NS,Educomp Solutions Limited,BZ,13-JAN-2006,2
476,EICHERMOT.NS,Eicher Motors Limited,EQ,07-SEP-2004,1
477,EIDPARRY.NS,EID Parry India Limited,EQ,10-MAY-1995,1
478,EIFFL.NS,Euro India Fresh Foods Limited,EQ,12-OCT-2021,10
479,EIHAHOTELS.NS,EIH Associated Hotels Limited,EQ,08-APR-2008,10
480,EIHOTEL.NS,EIH Limited,EQ,08-FEB-1995,2
481,EIMCOELECO.NS,Eimco Elecon (India) Limited,EQ,17-APR-1996,10
482,EKC.NS,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2
483,ELDEHSG.NS,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2
484,ELECON.NS,Elecon Engineering Company Limited,EQ,29-SEP-2006,2
485,ELECTCAST.NS,Electrosteel Castings Limited,EQ,20-JUN-2003,1
486,ELECTHERM.NS,Electrotherm (India) Limited,BE,20-AUG-2007,10
487,ELGIEQUIP.NS,Elgi Equipments Limited,EQ,22-NOV-1995,1
488,ELGIRUBCO.NS,Elgi Rubber Company Limited,EQ,10-AUG-2011,1
489,ELIN.NS,Elin Electronics Limited,EQ,30-DEC-2022,5
490,EMAMILTD.NS,Emami Limited,EQ,03-AUG-2006,1
491,EMAMIPAP.NS,Emami Paper Mills Limited,EQ,30-MAY-2019,2
492,EMAMIREAL.NS,Emami Realty Limited,BE,28-JUL-2010,2
493,EMIL.NS,Electronics Mart India Limited,EQ,17-OCT-2022,10
494,EMKAY.NS,Emkay Global Financial Services Limited,BE,28-APR-2006,10
495,EMMBI.NS,Emmbi Industries Limited,EQ,24-FEB-2010,10
496,EMSLIMITED.NS,EMS Limited,EQ,21-SEP-2023,10
497,EMUDHRA.NS,eMudhra Limited,EQ,01-JUN-2022,5
498,ENDURANCE.NS,Endurance Technologies Limited,EQ,19-OCT-2016,10
499,ENERGYDEV.NS,Energy Development Company Limited,BE,02-NOV-2007,10
500,ENGINERSIN.NS,Engineers India Limited,EQ,20-AUG-1997,5
501,ENIL.NS,Entertainment Network (India) Limited,EQ,15-FEB-2006,10
502,ENTERO.NS,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,10
503,EPACK.NS,EPACK Durable Limited,EQ,30-JAN-2024,10
504,EPIGRAL.NS,Epigral Limited,EQ,18-AUG-2021,10
505,EPL.NS,EPL Limited,EQ,11-FEB-2002,2
506,EQUIPPP.NS,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,1
507,EQUITASBNK.NS,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10
508,ERIS.NS,Eris Lifesciences Limited,EQ,29-JUN-2017,1
509,EROSMEDIA.NS,Eros International Media Limited,EQ,06-OCT-2010,10
510,ESABINDIA.NS,Esab India Limited,EQ,01-NOV-1995,10
511,ESAFSFB.NS,ESAF Small Finance Bank Limited,EQ,10-NOV-2023,10
512,ESCORTS.NS,Escorts Kubota Limited,EQ,01-MAR-1995,10
513,ESSARSHPNG.NS,Essar Shipping Limited,EQ,15-NOV-2011,10
514,ESSENTIA.NS,Integra Essentia Limited,BE,20-AUG-2013,1
515,ESTER.NS,Ester Industries Limited,EQ,20-JUN-2011,5
516,ETHOSLTD.NS,Ethos Limited,EQ,30-MAY-2022,10
517,EUROTEXIND.NS,Eurotex Industries and Exports Limited,EQ,31-JAN-1996,10
518,EVEREADY.NS,Eveready Industries India Limited,EQ,27-APR-2005,5
519,EVERESTIND.NS,Everest Industries Limited,EQ,29-MAR-1995,10
520,EXCEL.NS,Excel Realty N Infra Limited,BE,03-AUG-2009,1
521,EXCELINDUS.NS,Excel Industries Limited,EQ,16-JUN-2004,5
522,EXIDEIND.NS,Exide Industries Limited,EQ,17-JUN-2003,1
523,EXPLEOSOL.NS,Expleo Solutions Limited,EQ,26-OCT-2009,10
524,EXXARO.NS,Exxaro Tiles Limited,EQ,16-AUG-2021,10
525,FACT.NS,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10
526,FAIRCHEMOR.NS,Fairchem Organics Limited,EQ,24-DEC-2020,10
527,FAZE3Q.NS,Faze Three Limited,EQ,18-NOV-2022,10
528,FCL.NS,Fineotex Chemical Limited,EQ,15-JAN-2015,2
529,FCONSUMER.NS,Future Consumer Limited,BE,04-JUL-2013,6
530,FCSSOFT.NS,FCS Software Solutions Limited,EQ,21-SEP-2005,1
531,FDC.NS,FDC Limited,EQ,07-AUG-1997,1
532,FEDERALBNK.NS,The Federal Bank  Limited,EQ,08-FEB-1995,2
533,FEDFINA.NS,Fedbank Financial Services Limited,EQ,30-NOV-2023,10
534,FEL.NS,Future Enterprises Limited,BZ,05-NOV-2001,2
535,FELDVR.NS,Future Enterprises Limited,BE,13-FEB-2009,2
536,FIBERWEB.NS,Fiberweb (India) Limited,EQ,16-FEB-2022,10
537,FIEMIND.NS,Fiem Industries Limited,EQ,19-OCT-2006,10
538,FILATEX.NS,Filatex India Limited,EQ,29-AUG-2011,1
539,FINCABLES.NS,Finolex Cables Limited,EQ,15-FEB-1995,2
540,FINEORG.NS,Fine Organic Industries Limited,EQ,02-JUL-2018,5
541,FINOPB.NS,Fino Payments Bank Limited,EQ,12-NOV-2021,10
542,FINPIPE.NS,Finolex Industries Limited,EQ,08-FEB-1995,2
543,FIVESTAR.NS,Five-Star Business Finance Limited,EQ,21-NOV-2022,1
544,FLAIR.NS,Flair Writing Industries Limited,EQ,01-DEC-2023,5
545,FLEXITUFF.NS,Flexituff Ventures International Limited,EQ,19-OCT-2011,10
546,FLFL.NS,Future Lifestyle Fashions Limited,BZ,01-OCT-2013,2
547,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1
548,FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10
549,FMNL.NS,Future Market Networks Limited,BE,31-DEC-2010,10
550,FOCUS.NS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,2
551,FOODSIN.NS,Foods & Inns Limited,EQ,16-NOV-2021,1
552,FORCEMOT.NS,FORCE MOTORS LTD,EQ,14-FEB-2024,10
553,FORTIS.NS,Fortis Healthcare Limited,EQ,09-MAY-2007,10
554,FOSECOIND.NS,Foseco India Limited,EQ,05-MAY-2003,10
555,FRETAIL.NS,Future Retail Limited,BZ,29-AUG-2016,2
556,FSC.NS,Future Supply Chain Solutions Limited,BZ,18-DEC-2017,10
557,FSL.NS,Firstsource Solutions Limited,EQ,22-FEB-2007,10
558,FUSION.NS,Fusion Micro Finance Limited,EQ,15-NOV-2022,10
559,GABRIEL.NS,Gabriel India Limited,EQ,20-APR-2005,1
560,GAEL.NS,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1
561,GAIL.NS,GAIL (India) Limited,EQ,02-APR-1997,10
562,GALAXYSURF.NS,Galaxy Surfactants Limited,EQ,08-FEB-2018,10
563,GALLANTT.NS,Gallantt Ispat Limited,BE,04-APR-2006,10
564,GANDHAR.NS,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023,2
565,GANDHITUBE.NS,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5
566,GANECOS.NS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10
567,GANESHBE.NS,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1
568,GANESHHOUC.NS,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10
569,GANGAFORGE.NS,Ganga Forging Limited,BE,06-JUL-2021,1
570,GANGESSECU.NS,Ganges Securities Limited,EQ,28-JUL-2017,10
571,GARFIBRES.NS,Garware Technical Fibres Limited,EQ,03-APR-2007,10
572,GATECH.NS,GACM Technologies Limited,BE,25-JUL-2016,1
573,GATECHDVR.NS,GACM Technologies Limited,BE,10-OCT-2017,1
574,GATEWAY.NS,Gateway Distriparks Limited,EQ,22-MAR-2022,10
575,GAYAPROJ.NS,Gayatri Projects Limited,BZ,22-AUG-2011,2
576,GEECEE.NS,GeeCee Ventures Limited,EQ,04-OCT-2006,10
577,GEEKAYWIRE.NS,Geekay Wires Limited,EQ,06-MAR-2020,2
578,GENCON.NS,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5
579,GENESYS.NS,Genesys International Corporation Limited,EQ,23-JAN-2003,5
580,GENSOL.NS,Gensol Engineering Limited,EQ,03-JUL-2023,10
581,GENUSPAPER.NS,Genus Paper & Boards Limited,EQ,16-FEB-2015,1
582,GENUSPOWER.NS,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1
583,GEOJITFSL.NS,Geojit Financial Services Limited,EQ,01-JUL-2005,1
584,GEPIL.NS,GE Power India Limited,EQ,19-APR-2000,10
585,GESHIP.NS,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10
586,GET&D.NS,GE T&D India Limited,BE,30-JUN-2008,2
587,GFLLIMITED.NS,GFL Limited,EQ,25-MAY-1995,1
588,GHCL.NS,GHCL Limited,EQ,31-JUL-2003,10
589,GHCLTEXTIL.NS,GHCL Textiles Limited,EQ,12-JUN-2023,2
590,GICHSGFIN.NS,GIC Housing Finance Limited,EQ,08-MAY-1996,10
591,GICRE.NS,General Insurance Corporation of India,EQ,25-OCT-2017,5
592,GILLANDERS.NS,Gillanders Arbuthnot & Company Limited,BE,14-DEC-2009,10
593,GILLETTE.NS,Gillette India Limited,EQ,30-JUL-2003,10
594,GINNIFILA.NS,Ginni Filaments Limited,EQ,10-MAY-1995,10
595,GIPCL.NS,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10
596,GKWLIMITED.NS,GKW Limited,EQ,20-JUL-2009,10
597,GLAND.NS,Gland Pharma Limited,EQ,20-NOV-2020,1
598,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10
599,GLENMARK.NS,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1
600,GLFL.NS,Gujarat Lease Financing Limited,BE,08-FEB-1995,10
601,GLOBAL.NS,Global Education Limited,EQ,07-DEC-2020,5
602,GLOBALVECT.NS,Global Vectra Helicorp Limited,BE,27-OCT-2006,10
603,GLOBE.NS,Globe Textiles (India) Limited,BE,07-OCT-2020,2
604,GLOBUSSPR.NS,Globus Spirits Limited,EQ,23-SEP-2009,10
605,GLS.NS,Glenmark Life Sciences Limited,EQ,06-AUG-2021,2
606,GMBREW.NS,GM Breweries Limited,EQ,23-AUG-1995,10
607,GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2
608,GMMPFAUDLR.NS,GMM Pfaudler Limited,EQ,05-MAR-2018,2
609,GMRINFRA.NS,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1
610,GMRP&UI.NS,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5
611,GNA.NS,GNA Axles Limited,EQ,26-SEP-2016,10
612,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10
613,GOACARBON.NS,Goa Carbon Limited,EQ,05-JUN-2007,10
614,GOCLCORP.NS,GOCL Corporation Limited,EQ,26-JUN-2014,2
615,GOCOLORS.NS,Go Fashion (India) Limited,EQ,30-NOV-2021,10
616,GODFRYPHLP.NS,Godfrey Phillips India Limited,EQ,24-JUL-1996,2
617,GODHA.NS,Godha Cabcon & Insulation Limited,BE,24-DEC-2020,1
618,GODREJAGRO.NS,Godrej Agrovet Limited,EQ,16-OCT-2017,10
619,GODREJCP.NS,Godrej Consumer Products Limited,EQ,20-JUN-2001,1
620,GODREJIND.NS,Godrej Industries Limited,EQ,25-FEB-2003,1
621,GODREJPROP.NS,Godrej Properties Limited,EQ,05-JAN-2010,5
622,GOENKA.NS,Goenka Diamond and Jewels Limited,BZ,16-APR-2010,1
623,GOKEX.NS,Gokaldas Exports Limited,EQ,27-APR-2005,5
624,GOKUL.NS,Gokul Refoils and Solvent Limited,BE,04-JUN-2008,2
625,GOKULAGRO.NS,Gokul Agro Resources Limited,EQ,11-MAR-2016,2
626,GOLDENTOBC.NS,Golden Tobacco Limited,BZ,08-FEB-1995,10
627,GOLDIAM.NS,Goldiam International Limited,EQ,29-AUG-2005,2
628,GOLDTECH.NS,AION-TECH SOLUTIONS LIMITED,EQ,11-APR-2001,10
629,GOODLUCK.NS,Goodluck India Limited,EQ,08-JAN-2015,2
630,GOYALALUM.NS,Goyal Aluminiums Limited,BE,04-NOV-2022,1
631,GPIL.NS,Godawari Power And Ispat limited,EQ,25-APR-2006,5
632,GPPL.NS,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10
633,GPTHEALTH.NS,GPT Healthcare Limited,EQ,29-FEB-2024,10
634,GPTINFRA.NS,GPT Infraprojects Limited,EQ,11-JUL-2016,10
635,GRANULES.NS,Granules India Limited,EQ,20-JUN-2005,1
636,GRAPHITE.NS,Graphite India Limited,EQ,07-FEB-2003,2
637,GRASIM.NS,Grasim Industries Limited,EQ,10-MAY-1995,2
638,GRAVITA.NS,Gravita India Limited,EQ,16-NOV-2010,2
639,GREAVESCOT.NS,Greaves Cotton Limited,EQ,09-SEP-2004,2
640,GREENLAM.NS,Greenlam Industries Limited,EQ,02-MAR-2015,1
641,GREENPANEL.NS,Greenpanel Industries Limited,EQ,23-OCT-2019,1
642,GREENPLY.NS,Greenply Industries Limited,EQ,06-MAR-1996,1
643,GREENPOWER.NS,Orient Green Power Company Limited,BE,08-OCT-2010,10
644,GRINDWELL.NS,Grindwell Norton Limited,EQ,11-SEP-2006,5
645,GRINFRA.NS,G R Infraprojects Limited,EQ,19-JUL-2021,5
646,GRMOVER.NS,GRM Overseas Limited,EQ,07-SEP-2022,2
647,GROBTEA.NS,The Grob Tea Company Limited,EQ,14-JUL-2016,10
648,GRPLTD.NS,GRP Limited,EQ,12-FEB-2015,10
649,GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10
650,GRWRHITECH.NS,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,10
651,GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2
652,GSLSU.NS,Global Surfaces Limited,EQ,23-MAR-2023,10
653,GSPL.NS,Gujarat State Petronet Limited,EQ,16-FEB-2006,10
654,GSS.NS,GSS Infotech Limited,EQ,07-MAR-2008,10
655,GTECJAINX.NS,G-TEC JAINX EDUCATION LIMITED,BE,13-NOV-2020,10
656,GTL.NS,GTL Limited,BE,29-MAR-1995,10
657,GTLINFRA.NS,GTL Infrastructure Limited,EQ,09-NOV-2006,10
658,GTPL.NS,GTPL Hathway Limited,EQ,04-JUL-2017,10
659,GUFICBIO.NS,Gufic Biosciences Limited,EQ,19-OCT-2004,1
660,GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10
661,GUJAPOLLO.NS,Gujarat Apollo Industries Limited,BE,04-JUN-2007,10
662,GUJGASLTD.NS,Gujarat Gas Limited,EQ,15-SEP-2015,2
663,GUJRAFFIA.NS,Gujarat Raffia Industries Limited,BE,09-OCT-1996,10
664,GULFOILLUB.NS,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2
665,GULFPETRO.NS,GP Petroleums Limited,EQ,24-SEP-2004,5
666,GULPOLY.NS,Gulshan Polyols Limited,EQ,28-JAN-2015,1
667,GVKPIL.NS,GVK Power & Infrastructure Limited,BE,27-FEB-2006,1
668,GVPTECH.NS,GVP Infotech Limited,BE,06-SEP-2022,2
669,HAL.NS,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5
670,HAPPSTMNDS.NS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2
671,HAPPYFORGE.NS,Happy Forgings Limited,EQ,27-DEC-2023,2
672,HARDWYN.NS,Hardwyn India Limited,EQ,12-APR-2022,1
673,HARIOMPIPE.NS,Hariom Pipe Industries Limited,EQ,13-APR-2022,10
674,HARRMALAYA.NS,Harrisons  Malayalam Limited,EQ,08-FEB-1995,10
675,HARSHA.NS,Harsha Engineers International Limited,EQ,26-SEP-2022,10
676,HATHWAY.NS,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2
677,HATSUN.NS,Hatsun Agro Product Limited,EQ,20-JUN-2014,1
678,HAVELLS.NS,Havells India Limited,EQ,21-MAR-2001,1
679,HAVISHA.NS,Sri Havisha Hospitality and Infrastructure Limited,BE,16-FEB-2000,2
680,HBLPOWER.NS,HBL Power Systems Limited,EQ,04-JAN-2007,1
681,HBSL.NS,HB Stockholdings Limited,BE,23-JUL-2018,10
682,HCC.NS,Hindustan Construction Company Limited,EQ,01-APR-2003,1
683,HCG.NS,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10
684,HCL-INSYS.NS,HCL Infosystems Limited,BE,01-JAN-1997,2
685,HCLTECH.NS,HCL Technologies Limited,EQ,06-JAN-2000,2
686,HDFCAMC.NS,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5
687,HDFCBANK.NS,HDFC Bank Limited,EQ,08-NOV-1995,1
688,HDFCLIFE.NS,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10
689,HEADSUP.NS,Heads UP Ventures Limited,EQ,14-DEC-2016,10
690,HECPROJECT.NS,HEC Infra Projects Limited,BE,30-DEC-2021,10
691,HEG.NS,HEG Limited,EQ,10-MAY-1995,10
692,HEIDELBERG.NS,HeidelbergCement India Limited,EQ,15-MAR-1995,10
693,HEMIPROP.NS,Hemisphere Properties India Limited,EQ,22-OCT-2020,10
694,HERANBA.NS,Heranba Industries Limited,EQ,05-MAR-2021,10
695,HERCULES.NS,Hercules Hoists Limited,EQ,19-FEB-2008,1
696,HERITGFOOD.NS,Heritage Foods Limited,EQ,27-NOV-1996,5
697,HEROMOTOCO.NS,Hero MotoCorp Limited,EQ,11-APR-2003,2
698,HESTERBIO.NS,Hester Biosciences Limited,EQ,13-MAR-2015,10
